name,lei,title,cusip,isin,ticker,other_identifier,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind,isCashCollateral,isNonCashCollateral,isLoanByFund
Hyperion Insurance/Howden 8/24 TLB,N/A,Hyperion Insurance/Howden 8/24 TLB,G4712JAY8,,,LX239293,439009.97,PA,USD,441082.1,0.095910071115,Long,LON,CORP,US,N,2,2030-04-18,Floating,7.8268104,N,N,N,N,N,N
BROWN GROUP HOLDING LLC,25490094PF4HHK9QS109,Signature Aviation/BBA Aviation 6/22 TLB2,11565HAD8,US11565HAD89,SIGLN,LX205479,471566.82,PA,USD,472047.82,0.102643340063,Long,LON,CORP,US,N,2,2031-07-01,Floating,6.80641919,N,N,N,N,N,N
Neuberger Berman CLO Ltd,549300UMYON6L2REF246,NEUB 2022-50A SUB,64134WAC8,US64134WAC82,NEUB,,6500000,PA,USD,4216550,0.91685790551,Long,ABS-O,CORP,JE,Y,2,,,,,,,N,N,N
Wind River CLO Ltd,254900W8N6WOFX1LSH24,WINDR 2017-1A ER,97315XAA1,US97315XAA19,WINDR,,1500000,PA,USD,1463236.2,0.318169991485,Long,ABS-CBDO,CORP,KY,Y,2,2036-04-18,Floating,11.5910784,N,N,N,N,N,N
New Fortress Energy 2/25 Incremental TLB,N/A,New Fortress Energy 2/25 Incremental TLB,64439HAC3,,,LX259736,1400277.13,PA,USD,753041.03,0.163743254919,Long,LON,CORP,US,N,2,2028-10-30,Floating,9.8074908,N,N,N,N,N,N
Summit Behavioral 4/24 TLB,N/A,Summit Behavioral 4/24 TLB,86602KAF3,,,LX230493,1053344.58,PA,USD,790008.44,0.171781547386,Long,LON,CORP,US,N,2,2028-11-24,Floating,8.5456116,N,N,N,N,N,N
UST GLOBAL INC,984500398691E4511Z04,"UST Holdings, Ltd. TL",90355HAB0,US90355HAB06,USTGLO,LX199512,550655.01,PA,USD,552031.65,0.120035237906,Long,LON,CORP,US,N,2,2028-11-20,Floating,7.3117584,N,N,N,N,N,N
Altera/Gryphon 6/25 Cov-Lite TLB,N/A,Altera/Gryphon 6/25 Cov-Lite TLB,N/A,,,LX264587,695723.11,PA,USD,695145.66,0.151154330875,Long,LON,CORP,US,N,2,2032-06-18,Floating,,N,N,N,N,N,N
Tenneco Inc TL B,N/A,Tenneco Inc TL B,88037HAP9,,,LX209152,1076969.78,PA,USD,1048968.57,0.228090530418,Long,LON,CORP,US,N,2,2028-11-17,Floating,9.4219416,N,N,N,N,N,N
CIFC Funding Ltd,635400VBVF8AYJQBI411,CIFC 2018-1A SUB,12547WAC8,US12547WAC82,CIFC,,10250000,PA,USD,3881162.5,0.843930350807,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Trace3 10/21 Cov-Lite TL,N/A,Trace3 10/21 Cov-Lite TL,29629LAB9,,,LX198887,339424.23,PA,USD,338904.91,0.073692389738,Long,LON,CORP,US,N,2,2028-10-08,Floating,8.80721999,N,N,N,N,N,N
CORELOGIC INC,54930086CD8K2UIL0516,"CoreLogic, Inc., TL",21870FBA6,US21870FBA66,CLGX,LX193776,1084754.93,PA,USD,1072215.16,0.233145331101,Long,LON,CORP,US,N,2,2028-06-02,Floating,7.94129039,N,N,N,N,N,N
Sovos Compliance 2/25 Cov-Lite TL,N/A,Sovos Compliance 2/25 Cov-Lite TL,84611YAE0,,,LX258495,250000,PA,USD,251110,0.054602029776,Long,LON,CORP,US,N,2,2029-08-13,Floating,8.3268108,N,N,N,N,N,N
First Advantage 9/24 TLB,N/A,First Advantage 9/24 TLB,78477MAG6,,,LX245526,823613.62,PA,USD,823358.3,0.17903323011,Long,LON,CORP,US,N,2,2031-10-31,Floating,7.5768084,N,N,N,N,N,N
ExamWorks/Electron 11/21 Cov-Lite TL,N/A,ExamWorks/Electron 11/21 Cov-Lite TL,28542CAC3,,,LX197890,687198.68,PA,USD,688696.77,0.149752066991,Long,LON,CORP,US,N,2,2028-11-01,Floating,7.07384159,N,N,N,N,N,N
DIRECTV FINANCING LLC,N/A,"DIRECTV Financing, LLC TL 1L",25460HAB8,US25460HAB87,DTV,LX196261,275747.02,PA,USD,276502.57,0.060123458087,Long,LON,CORP,US,N,2,2027-08-02,Floating,9.54125999,N,N,N,N,N,N
CBAMR Ltd,N/A,CBAM 2018-8A E2R,12478FAG9,US12478FAG90,CBAMR,,1000000,PA,USD,1008148,0.219214396538,Long,ABS-CBDO,CORP,KY,Y,2,2037-07-15,Floating,10.6260984,N,N,N,N,N,N
GETTY IMAGES INC,5493005NV20IG4VEKZ40,GETTY IMAGES INC ABEGET 11 1/4 02/21/30,374276AM5,US374276AM59,ABEGET,,376325,PA,USD,373502.56,0.081215395255,Long,DBT,CORP,US,Y,2,2030-02-21,Fixed,11.25,N,N,N,N,N,N
ARES CLO Ltd,5493003FNA8PT0CMDE92,ARES 2019-51A INC,04017LAA4,US04017LAA44,ARES,,1699959,PA,USD,769112.45,0.167237867452,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Colonial Pipeline 6/25 TLB,N/A,Colonial Pipeline 6/25 TLB,N/A,,,LX264525,472348.26,PA,USD,468923.74,0.101964031755,Long,LON,CORP,US,N,2,2032-06-11,Floating,,N,N,N,N,N,N
VACO HOLDINGS LLC,54930076HTNXBP03T379,"Vaco Holdings, LLC TL 1L",91865FAJ8,US91865FAJ84,VACHOL,LX202020,495688.06,PA,USD,453306.73,0.098568227347,Long,LON,CORP,US,N,2,2029-01-21,Floating,9.44561159,N,N,N,N,N,N
Pro Mach 2/25 Cov-Lite TLB,N/A,Pro Mach 2/25 Cov-Lite TLB,74273JAK9,,,LX258921,1453507.76,PA,USD,1455993.26,0.316595067247,Long,LON,CORP,US,N,2,2028-08-31,Floating,7.0768116,N,N,N,N,N,N
Atlantic Broadband/Breezeline 9/23 TL B,N/A,Atlantic Broadband/Breezeline 9/23 TL B,19239BAD0,,,LX216860,969411.86,PA,USD,966387.29,0.210133836103,Long,LON,CORP,US,N,2,2030-09-18,Floating,7.5768084,N,N,N,N,N,N
ELEMENT MTRL TECH GP HLDG TL,N/A,ELEMENT MTRL TECH GP HLDG TL,284375LE0,,,LX203895,1109170.25,PA,USD,1110090.86,0.241381124574,Long,LON,CORP,US,N,2,2029-07-06,Floating,8.04561119,N,N,N,N,N,N
"Fusion Parent, LLC - Common Equity",N/A,"Fusion Parent, LLC - Common Equity",N/A,,,LX264545,8284,NS,USD,221597,0.048184644149,Long,EC,CORP,US,N,2,,,,,,,N,N,N
Tacala 9/24 Cov-Lite TLB,N/A,Tacala 9/24 Cov-Lite TLB,87339PAD5,,,LX247574,311761.35,PA,USD,312905.51,0.068039010689,Long,LON,CORP,US,N,2,2031-01-31,Floating,7.8268104,N,N,N,N,N,N
Cotiviti 2/24 TL,N/A,Cotiviti 2/24 TL,22164MAB3,,,LX227235,1063494.15,PA,USD,1057517.31,0.2299493913,Long,LON,CORP,US,N,2,2031-05-01,Floating,7.0742196,N,N,N,N,N,N
RVR DEALERSHIP HOLDINGS,N/A,"RV Retailer, LLC TLB",75001CAB0,US75001CAB00,RVRETL,LX192101,979455.73,PA,USD,894027.6,0.194399751646,Long,LON,CORP,US,N,2,2028-02-08,Floating,8.1768096,N,N,N,N,N,N
TAMKO Building 10/24 Cov-Lite TLB,N/A,TAMKO Building 10/24 Cov-Lite TLB,87510EAD1,,,LX249774,883708.93,PA,USD,884539.62,0.192336659907,Long,LON,CORP,US,N,2,2030-09-20,Floating,7.0676208,N,N,N,N,N,N
Magnetite CLO Ltd,549300P6T1S83Z2MDF55,MAGNE 2019-24A ER,55954XAE7,US55954XAE76,MAGNE,,500000,PA,USD,500110.6,0.108745385976,Long,ABS-CBDO,CORP,KY,Y,2,2035-04-15,Floating,10.6561008,N,N,N,N,N,N
Neuberger Berman CLO Ltd,2549008MU2CMQ0UY7J70,NEUB 2024-54A SUB,64135RAC8,US64135RAC88,NEUB,,3465000,PA,USD,2594626.65,0.564182555857,Long,ABS-O,CORP,JE,Y,2,,,,,,,N,N,N
Rockland Park CLO Ltd,N/A,ROCKP 2021-1A M2,77366PAG5,US77366PAG54,ROCKP,,9750000,PA,USD,98508.15,0.02141987551,Long,ABS-O,CORP,KY,Y,3,,,,,,,N,N,N
Madison Park Funding Ltd,N/A,MDPK 2018-28A SUB,55821BAE6,US55821BAE65,MDPK,,5949336,PA,USD,2518353.93,0.547597611695,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Sedgwick CMS 2/23 TLB,N/A,Sedgwick CMS 2/23 TLB,81527CAP2,,,LX211038,3236276.57,PA,USD,3246406.12,0.705907226433,Long,LON,CORP,US,N,2,2031-07-31,Floating,7.32681,N,N,N,N,N,N
Mavenir 11/24 New Money TL,N/A,Mavenir 11/24 New Money TL,N/A,,,LX253793,14260.61,PA,USD,,,Long,LON,CORP,US,N,2,2025-09-02,Floating,14.3099316,Y,N,N,N,N,N
SABRE GLBL INC,F2TJC7HPPHLHU1AQMP98,Sabre GLBL Inc. TLB2,78571YBF6,US78571YBF60,SABHLD,LX196145,278852.92,PA,USD,273473.85,0.059464885112,Long,LON,CORP,US,N,2,2027-12-17,Floating,7.94129039,N,N,N,N,N,N
Alliant Insurance 9/24 B6 TLB,N/A,Alliant Insurance 9/24 B6 TLB,01881UAM7,,,LX245521,24353.86,PA,USD,24356.54,0.005296151178,Long,LON,CORP,US,N,2,2031-09-19,Floating,7.0715088,N,N,N,N,N,N
Galaxy CLO Ltd,3912004FNLYTWOWSZU31,GALXY 2024-33A SUB,36321FAC6,US36321FAC68,GALXY,,2000000,PA,USD,1360360,0.295800315504,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
RR Ltd,254900FV8ZM4T7O1K491,RRAM 2023-25A SUB,75000LAE5,US75000LAE56,RRAM,,9780000,PA,USD,6105165,1.327523400575,Long,ABS-O,CORP,BM,Y,2,,,,,,,N,N,N
Hanger Orthopedic 10/24 TLB,N/A,Hanger Orthopedic 10/24 TLB,41043BAH1,,,LX248753,782854.38,PA,USD,783605.92,0.17038936632,Long,LON,CORP,US,N,2,2031-10-23,Floating,7.8268104,N,N,N,N,N,N
Berlin Packaging 12/24 B7 TLB,N/A,Berlin Packaging 12/24 B7 TLB,08511LBC1,,,LX255432,253215.31,PA,USD,254040.79,0.055239308589,Long,LON,CORP,US,N,2,2031-06-07,Floating,7.8107616,N,N,N,N,N,N
SABRE GLBL INC,F2TJC7HPPHLHU1AQMP98,Sabre GLBL Inc.TLB2 1L,78571YBJ8,US78571YBJ82,SABHLD,LX206871,58181.52,PA,USD,57599.7,0.012524632768,Long,LON,CORP,US,N,2,2028-06-30,Floating,9.42680879,N,N,N,N,N,N
Michael Baker 1/25 TLB,N/A,Michael Baker 1/25 TLB,59406MAF4,,,LX258116,272825.6,PA,USD,273848.7,0.059546393499,Long,LON,CORP,US,N,2,2028-12-01,Floating,8.2796508,N,N,N,N,N,N
Clover CLO,N/A,CLVR 2021-3A SUB,00142QAL5,US00142QAL59,CLVR,,5500000,PA,USD,3924800,0.853419005477,Long,ABS-O,CORP,US,Y,2,,,,,,,N,N,N
Citco 6/24 TLB,N/A,Citco 6/24 TLB,17302JAK3,,,LX234813,774187.95,PA,USD,777478.25,0.169056949372,Long,LON,CORP,US,N,2,2028-04-27,Floating,6.9336684,N,N,N,N,N,N
Virgin Media 3/23 TLY,N/A,Virgin Media 3/23 TLY,G9368PBH6,,,LX211224,976310.19,PA,USD,962778.53,0.20934913768,Long,LON,CORP,GB,N,2,2031-03-31,Floating,7.3730016,N,N,N,N,N,N
Hyperion Insurance/Howden 11/24 (USD) Cov-Lite TLB,N/A,Hyperion Insurance/Howden 11/24 (USD) Cov-Lite TLB,G4712JAZ5,,,LX254074,3009236.19,PA,USD,3017090.3,0.656044181426,Long,LON,CORP,LU,N,2,2031-02-15,Floating,7.32681,N,N,N,N,N,N
National Intergovernmental Purchasing/Omnia TLB,N/A,National Intergovernmental Purchasing/Omnia TLB,68218HAE7,,,LX224593,2302762.56,PA,USD,2306124.59,0.501449896582,Long,LON,CORP,US,N,2,2030-07-25,Floating,7.03262159,N,N,N,N,N,N
WeddingWire 12/24 TLB,N/A,WeddingWire 12/24 TLB,94847DAJ0,,,LX255854,1082136,PA,USD,1076725.32,0.234126032349,Long,LON,CORP,US,N,2,2028-01-31,Floating,8.0768088,N,N,N,N,N,N
RR Ltd,549300RJ4N2AJDFNE876,RRAM 2021-19A DR,74983BAJ0,US74983BAJ08,RRAM,,500000,PA,USD,499236.55,0.108555330207,Long,ABS-CBDO,CORP,KY,Y,2,2040-04-15,Floating,9.06478919,N,N,N,N,N,N
TORRID LLC,254900PHLV1YJ5P5SQ69,"TORRID LLC, TLB",89142DAB9,US89142DAB91,CURV,LX195160,168336.18,PA,USD,152512.58,0.033162743157,Long,LON,CORP,US,N,2,2028-06-14,Floating,10.1782692,N,N,N,N,N,N
Ardonagh 6/24 Cov-Lite TLB,N/A,Ardonagh 6/24 Cov-Lite TLB,Q0500HAB5,,,LX236634,2377921.02,PA,USD,2357114.21,0.512537215882,Long,LON,CORP,US,N,2,2031-02-15,Floating,7.03305,N,N,N,N,N,N
Victra/LSF9 Atlantis 2/25 TLB,N/A,Victra/LSF9 Atlantis 2/25 TLB,50226BAM0,,,LX259387,1768773.66,PA,USD,1766562.69,0.384126114455,Long,LON,CORP,US,N,2,2029-03-31,Floating,8.5456116,N,N,N,N,N,N
Idera 6/24 TL,N/A,Idera 6/24 TL,45168RAT0,,,LX234473,1576645.01,PA,USD,1474084.25,0.320528820481,Long,LON,CORP,US,N,2,2028-03-02,Floating,7.77592079,N,N,N,N,N,N
CIFC Funding Ltd,254900SVOWCOSOG16T40,CIFC 2019-3A SUB,12554UAC2,US12554UAC27,CIFC,,840000,PA,USD,707918.4,0.15393166961,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Elmwood CLO VII Ltd.,N/A,ELMW7 2020-4A SUB,29002RAC1,US29002RAC16,ELMW7,,8350000,PA,USD,3915816,0.851465500497,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Neuberger Berman CLO Ltd,549300RYH1PYRU661D66,NEUB 2021-41A E,64134CAA6,US64134CAA62,NEUB,,1250000,PA,USD,1252252.38,0.272293105571,Long,ABS-CBDO,CORP,KY,Y,2,2034-04-15,Floating,11.01770999,N,N,N,N,N,N
"INVESCO CLO 2021-1, Ltd",25490016C8NV86EY2059,INVCO 2021-1A SUB,46090YAC3,US46090YAC30,INVCO,,3000000,PA,USD,1024977.9,0.222873934991,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Infoblox 1/25 TLB,N/A,Infoblox 1/25 TLB,24780DAJ6,,,LX258130,1267199.15,PA,USD,1257467.06,0.273426999532,Long,LON,CORP,US,N,2,2029-11-30,Floating,7.0688988,N,N,N,N,N,N
K-Mac 1/25 Cov-Lite TL,N/A,K-Mac 1/25 Cov-Lite TL,55304PAG6,,,LX258374,381453.89,PA,USD,382964.45,0.083272813914,Long,LON,CORP,US,N,2,2028-07-21,Floating,7.5768084,N,N,N,N,N,N
Kantar 2/24 Extended TLB,N/A,Kantar 2/24 Extended TLB,L8869UAG8,,,LX226824,761071.31,PA,USD,762973.99,0.165903104298,Long,LON,CORP,US,N,2,2029-02-15,Floating,9.5556096,N,N,N,N,N,N
SPIRIT AEROSYSTEMS INC,ZD2NBKV6GCC3UMGBM518,"Spirit AeroSystems, Inc. TL 1L",84857HAY6,US84857HAY62,SPR,LX209317,111503.11,PA,USD,111503.11,0.024245534356,Long,LON,CORP,US,N,2,2027-01-15,Floating,8.7796512,N,N,N,N,N,N
Ancestry.com 2/21 Cov-Lite TLB,N/A,Ancestry.com 2/21 Cov-Lite TLB,03952HAD6,,,LX192925,1496744.79,PA,USD,1476718.34,0.321101584053,Long,LON,CORP,US,N,2,2027-12-06,Floating,7.6768092,N,N,N,N,N,N
Harbortouch 5/25 TL,N/A,Harbortouch 5/25 TL,N/A,,,LX262822,212869.67,PA,USD,214532.18,0.046648450799,Long,LON,CORP,US,N,2,2032-06-30,Floating,,N,N,N,N,N,N
TGP Holdings III (Traeger Grills) T/L (6/21),N/A,TGP Holdings III (Traeger Grills) T/L (6/21),87251RAK9,,,LX195746,499922.56,PA,USD,444576.13,0.09666982234,Long,LON,CORP,US,N,2,2028-06-29,Floating,7.6768092,N,N,N,N,N,N
Sixth Street CLO LTD.,N/A,SIXST 2021-17A SUB,83012GAC0,US83012GAC06,SIXST,,1100000,PA,USD,843392,0.183389411401,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Carroll County 6/24 TLB,N/A,Carroll County 6/24 TLB,14474FAY0,,,LX236116,732501.62,PA,USD,733234.12,0.159436387452,Long,LON,CORP,US,N,2,2031-06-30,Floating,7.5456108,N,N,N,N,N,N
Hexion 12/24 TLB,N/A,Hexion 12/24 TLB,00217XAE6,,,LX255554,1564505.84,PA,USD,1560266.03,0.339268417143,Long,LON,CORP,US,N,2,2029-03-15,Floating,8.31175919,N,N,N,N,N,N
Acrisure 12/24 B6 Cov-Lite TL,N/A,Acrisure 12/24 B6 Cov-Lite TL,00488PAV7,,,LX256061,2458896.74,PA,USD,2450118.48,0.53276031301,Long,LON,CORP,US,N,2,2030-11-06,Floating,7.32681,N,N,N,N,N,N
Flexera Software 12/24 Cov-Lite TL,N/A,Flexera Software 12/24 Cov-Lite TL,33937KAX2,,,LX256036,994050.74,PA,USD,993692.88,0.216071236598,Long,LON,CORP,US,N,2,2028-03-03,Floating,7.30998,N,N,N,N,N,N
Univision 5/24 TLB,N/A,Univision 5/24 TLB,914908BG2,,,LX233896,259195.29,PA,USD,253578.53,0.055138793539,Long,LON,CORP,US,N,2,2029-01-31,Floating,7.94129039,N,N,N,N,N,N
FOUNDATION BUILDING M,549300ZVE6MONHB01I28,"Foundation Building Materials, Inc TL",35039KAB2,US35039KAB26,FBM,LX192263,217689.8,PA,USD,214696.57,0.0466841962,Long,LON,CORP,US,N,2,2028-01-31,Floating,7.79126039,N,N,N,N,N,N
Fairbanks Morse 3/25 TL,N/A,Fairbanks Morse 3/25 TL,03960DAH6,,,LX260821,606093.57,PA,USD,608475.52,0.132308543909,Long,LON,CORP,US,N,2,2030-06-23,Floating,7.5776184,N,N,N,N,N,N
McAfee/Magenta 8/24 Super Priority TL,N/A,McAfee/Magenta 8/24 Super Priority TL,55909UAC3,,,LX242113,142199.28,PA,USD,143503.25,0.031203730355,Long,LON,CORP,US,N,2,2028-07-27,Floating,10.5296508,N,N,N,N,N,N
Kidde Global 10/24 TLB,N/A,Kidde Global 10/24 TLB,50221UAC5,,,LX248262,1104993.31,PA,USD,1109833.18,0.241325093946,Long,LON,CORP,US,N,2,2031-12-02,Floating,8.5742208,N,N,N,N,N,N
"MH SUB I, LLC",N/A,"MH SUB I, LLC",45567YAN5,US87266UAB52,,LX212015,1030232.69,PA,USD,965523.77,0.209946070005,Long,LON,CORP,NL,N,2,2028-05-03,Floating,8.57680919,N,N,N,N,N,N
MAVENIR SYSTEMS INC,549300Q70CXM8TJLTD42,"Mavenir Systems, Inc. TLB 1L",57767EAE2,US57767EAE23,MAVSYS,LX197031,476514.08,PA,USD,142954.22,0.031084347804,Long,LON,CORP,US,N,2,2028-08-18,Floating,9.34430039,Y,N,N,N,N,N
"Sixth Street CLO XVI, Ltd.",549300YD05LZSDNMVF16,SIXST 2020-16A SUB,83012EAB7,US83012EAB74,SIXST,,8000000,PA,USD,4907040,1.066999897227,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Bowling Green Park CLO LLC,N/A,CLVR 2019-1A SUB,00871QAC2,US00871QAC24,BWLPK,,8339200,PA,USD,5530557.44,1.202579196438,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Carlyle Global Market Strategi,N/A,CGMS 2021-5A SUB,14318AAE5,US14318AAE55,CGMS,,4000000,PA,USD,2040160,0.44361784504,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Wilsonart International 7/24 TLB,N/A,Wilsonart International 7/24 TLB,97246FAM8,,,LX238593,981741.18,PA,USD,965483.55,0.209937324461,Long,LON,CORP,US,N,2,2031-08-05,Floating,8.5456116,N,N,N,N,N,N
"Niagara Park CLO, Ltd.",N/A,NIAPK 2019-1A G,65357KAJ6,US65357KAJ60,NIAPK,,225000,PA,USD,208318.5,0.045297331607,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
ALLIED UNIVERSAL HOLDCO,98450038B4549046D794,Allied Universal Holdco LLC TL,01957TAH0,US01957TAH05,UNSEAM,LX194227,2886094.62,PA,USD,2898851.16,0.630333946696,Long,LON,CORP,US,N,2,2028-05-12,Floating,8.1768096,N,N,N,N,N,N
Viavi 6/25 TLB,N/A,Viavi 6/25 TLB,N/A,,,LX259929,342839.73,PA,USD,342627.17,0.074501767904,Long,LON,CORP,US,N,2,2032-06-15,Floating,,N,N,N,N,N,N
Dave & Buster's 1/24 Cov-Lite TLB,N/A,Dave & Buster's 1/24 Cov-Lite TLB,23833EAX2,,,LX224837,446565.19,PA,USD,431788.35,0.093889213267,Long,LON,CORP,US,N,2,2029-06-29,Floating,7.5624984,N,N,N,N,N,N
Carlyle Global Market Strategi,N/A,CGMS 2025-2A E,14320DAA3,US14320DAA37,CGMS,,845000,PA,USD,875788.76,0.190433849512,Long,ABS-CBDO,CORP,KY,Y,2,2038-07-25,Floating,11.0459988,N,N,N,N,N,N
ARES CLO Ltd,N/A,ARES 2017-44A SUB,04016NAJ2,US04016NAJ28,ARES,,6288428,PA,USD,1333550.45,0.289970775273,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Wind River CLO Ltd,N/A,WINDR 2018-2A SUB,88433LAC9,US88433LAC90,WINDR,,3031000,PA,USD,223899.67,0.04868534287,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
"BCPE Grill Parent, Inc. (Fogo de Chao) TLB",N/A,"BCPE Grill Parent, Inc. (Fogo de Chao) TLB",05553QAB8,,,LX216735,849291.45,PA,USD,824415.7,0.179263153993,Long,LON,CORP,US,N,2,2030-09-30,Floating,9.0456084,N,N,N,N,N,N
Anticimex 4/24 TLB,N/A,Anticimex 4/24 TLB,03703HAB2,,,LX229095,462994.07,PA,USD,464267.3,0.100951522992,Long,LON,CORP,SE,N,2,2028-11-16,Floating,7.66000079,N,N,N,N,N,N
PELICAN PRODUCTS INC,5493008CRWH2WFODTF44,"PELICAN PRODUCTS, INC. TL",70468BAC7,US70468BAC72,PELPRO,LX200283,474071.69,PA,USD,413034.96,0.089811426006,Long,LON,CORP,US,N,2,2028-12-29,Floating,8.80721999,N,N,N,N,N,N
Elmwood CLO 14 Ltd,N/A,ELM14 2022-1A SUB,29003XAE3,US29003XAE31,ELM14,,10000000,PA,USD,4943000,1.074819135771,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Regatta XVI Funding Ltd.,254900XPJFGKL5R4O429,REG16 2019-2A ER,75888QAL5,US75888QAL59,REG16,,1400000,PA,USD,1388646.42,0.301950990296,Long,ABS-CBDO,CORP,KY,Y,2,2033-01-15,Floating,11.35609919,N,N,N,N,N,N
SunSource 3/24 TL,N/A,SunSource 3/24 TL,12508KAJ6,,,LX228000,1734730.76,PA,USD,1704806.65,0.370697716004,Long,LON,CORP,US,N,2,2031-03-25,Floating,8.4268116,N,N,N,N,N,N
WideOpenWest 10/24 Super-Priority FO New Money TL,N/A,WideOpenWest 10/24 Super-Priority FO New Money TL,96758DBG7,,,LX249693,677112.86,PA,USD,692347.9,0.15054597846,Long,LON,CORP,US,N,2,2028-12-11,Floating,11.5033212,N,N,N,N,N,N
PMHC II INC,549300GYZ1T3S8OPH343,"PMHC II, Inc. TL",69346EAG2,US69346EAG26,PRIMIN,LX196485,519394.66,PA,USD,452449.88,0.098381911592,Long,LON,CORP,US,N,2,2029-04-23,Floating,8.64170999,N,N,N,N,N,N
Air Medical 4/24 PIK TL,N/A,Air Medical 4/24 PIK TL,00169QAG4,,,LX230155,1624700.02,PA,USD,1625609.85,0.353476952069,Long,LON,CORP,US,N,2,2028-10-31,Floating,9.82850039,N,N,N,N,N,N
Jo-Ann Inc New Common,N/A,Jo-Ann Inc New Common,47768J200,US47768J2006,,,379111,NS,USD,49284.43,0.010716538227,Long,EC,CORP,US,N,2,,,,,,,N,N,N
Sound Point CLO LTD,549300G09B8CGBRMLL31,SNDPT 2017-4A D,83608DAA1,US83608DAA19,SNDPT,,500000,PA,USD,340645.1,0.074070781304,Long,ABS-CBDO,CORP,KY,Y,2,2031-01-21,Floating,10.0310796,N,N,N,N,N,N
COHERENT CORP,549300O5C25A0MMHHU33,II-VI INC COHR 5 12/15/29,902104AC2,US902104AC24,COHR,,146000,PA,USD,143469.83,0.03119646342,Long,DBT,CORP,US,Y,2,2029-12-15,Fixed,5,N,N,N,N,N,N
"Unity-Peace Park CLO, Ltd.",N/A,UNPPK 2022-1A SUB,913319AC3,US913319AC30,UNPPK,,4000000,PA,USD,2048800,0.44549654974,Long,ABS-O,CORP,JE,Y,2,,,,,,,N,N,N
Invenergy 4/25 TLB,N/A,Invenergy 4/25 TLB,N/A,,,LX262694,15467.05,PA,USD,15559.85,0.003383375385,Long,LON,CORP,US,N,2,2032-05-14,Floating,,N,N,N,N,N,N
R1 RCM 10/24 Cov-Lite TLB,N/A,R1 RCM 10/24 Cov-Lite TLB,75419XAC8,,,LX249676,2578985.18,PA,USD,2575761.45,0.56008045633,Long,LON,CORP,US,N,2,2031-11-19,Floating,7.5768084,N,N,N,N,N,N
"SHUTTERFLY FINANCE, LLC, TL",N/A,"SHUTTERFLY FINANCE, LLC, TL",82568TAG3,,,LX213103,445587.0901,PA,USD,412355.2,0.089663617174,Long,LON,CORP,US,N,2,2027-10-01,Floating,9.3326904,N,N,N,N,N,N
"ZEST ACQUISITION CORP., TL",N/A,"ZEST ACQUISITION CORP., TL",46589UAE5,US46589UAE55,,LX210749,199957.66,PA,USD,198957.87,0.043261931193,Long,LON,CORP,US,N,2,2028-02-08,Floating,9.52965,N,N,N,N,N,N
Cision US/Castle US 4/25 FLSO (USD) TLB1,N/A,Cision US/Castle US 4/25 FLSO (USD) TLB1,14852DAJ0,,,LX262522,746111.17,PA,USD,403832.67,0.087810455465,Long,LON,CORP,US,N,2,2030-05-31,Floating,8.8415496,N,N,N,N,N,N
Broadstreet Partners 5/24 TLB4,N/A,Broadstreet Partners 5/24 TLB4,11132VAY5,,,LX232654,2372536.36,PA,USD,2374861.45,0.516396223197,Long,LON,CORP,US,N,2,2031-06-13,Floating,7.32681,N,N,N,N,N,N
Endeavor/EOC 1/25 Cov-Lite TLB,N/A,Endeavor/EOC 1/25 Cov-Lite TLB,26875YAB8,,,LX258125,2185118.66,PA,USD,2185796.05,0.47528533713,Long,LON,CORP,US,N,2,2032-03-24,Floating,7.32681,N,N,N,N,N,N
Viasat 5/23 TL,N/A,Viasat 5/23 TL,92555WAF2,,,LX212940,374299.21,PA,USD,356871.84,0.077599167034,Long,LON,CORP,US,N,2,2030-05-30,Floating,8.9262396,N,N,N,N,N,N
Rockland Park CLO Ltd,N/A,ROCKP 2021-1A M1,77366PAE0,US77366PAE07,ROCKP,,9750000,PA,USD,26200.2,0.005697041537,Long,ABS-O,CORP,KY,Y,3,,,,,,,N,N,N
Gray Television 6/24 TLB,N/A,Gray Television 6/24 TLB,389376BC7,,,LX233478,744332.5,PA,USD,743134.12,0.161589069921,Long,LON,CORP,US,N,2,2029-06-04,Floating,9.57413159,N,N,N,N,N,N
