name,lei,title,cusip,isin,ticker,other_identifier,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerCat,invCountry,isRestrictedSec,fairValLevel,maturityDt,couponKind,annualizedRt,isDefault,areIntrstPmntsInArrs,isPaidKind,isCashCollateral,isNonCashCollateral,isLoanByFund
Envestnet/BCPE Pequod 9/24 TLB,N/A,Envestnet/BCPE Pequod 9/24 TLB,05624AAB8,,,LX246014,1832809.81,PA,USD,1834642.62,0.398929596455,Long,LON,CORP,US,N,2,2031-11-25,Floating,7.5768084,N,N,N,N,N,N
Creative Artists 9/24 Cov-Lite TLB,N/A,Creative Artists 9/24 Cov-Lite TLB,22526WAS7,,,LX245517,2804348.31,PA,USD,2811331.14,0.611303359551,Long,LON,CORP,US,N,2,2031-10-01,Floating,7.0768116,N,N,N,N,N,N
"ONTARIO GAMING GTA LIMITED PARTNERSHIP, TL",N/A,"ONTARIO GAMING GTA LIMITED PARTNERSHIP, TL",C6907UAB7,,,LX213782,547467.16,PA,USD,541477.87,0.117740395766,Long,LON,CORP,US,N,2,2030-08-01,Floating,8.5456116,N,N,N,N,N,N
Sixth Street CLO LTD.,N/A,SIXST 2024-25A SUB,83011WAC6,US83011WAC64,SIXST,,7000000,PA,USD,5247900,1.141117406962,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
Plusgrade 3/25 Cov-Lite TLB,N/A,Plusgrade 3/25 Cov-Lite TLB,C6902LAE6,,,LX259947,598645.62,PA,USD,594155.78,0.129194821358,Long,LON,CORP,CA,N,2,2031-03-03,Floating,7.8268104,N,N,N,N,N,N
Flynn Restaurant 1/25 Incremental TL,N/A,Flynn Restaurant 1/25 Incremental TL,34410JAG6,,,LX257487,1265907.39,PA,USD,1262742.62,0.274574131404,Long,LON,CORP,US,N,2,2032-01-28,Floating,8.0768088,N,N,N,N,N,N
Elmwood CLO 25 Ltd,N/A,ELM25 2024-1A E,29001CAA9,US29001CAA99,ELM25,,2000000,PA,USD,2009093.4,0.436862640475,Long,ABS-CBDO,CORP,KY,Y,2,2037-04-17,Floating,9.52979039,N,N,N,N,N,N
Conservice 1/25 Cov-Lite TLB,N/A,Conservice 1/25 Cov-Lite TLB,20848PAK4,,,LX257634,1999374.17,PA,USD,2000213.91,0.434931860429,Long,LON,CORP,US,N,2,2030-05-13,Floating,7.32681,N,N,N,N,N,N
Zuora 12/24 Cov-Lite TLB,N/A,Zuora 12/24 Cov-Lite TLB,98980XAC9,,,LX255864,1055471.63,PA,USD,1049750.97,0.228260657566,Long,LON,CORP,US,N,2,2032-02-14,Floating,7.8268104,N,N,N,N,N,N
Anchorage Capital CLO LTD,549300JIJ617WYIUFX18,ANCHC 2021-18A SUB,03331BAG4,US03331BAG41,ANCHC,,850000,PA,USD,317449.5,0.069027068023,Long,ABS-O,CORP,KY,Y,2,,,,,,,N,N,N
